solutions/result_000.txt:obj: 17
solutions/result_001.txt:obj: 4
solutions/result_002.txt:obj: 8
solutions/result_003.txt:obj: 2
solutions/result_004.txt:obj: 0
solutions/result_005.txt:obj: 3
solutions/result_006.txt:obj: 2
solutions/result_007.txt:obj: 5
solutions/result_008.txt:obj: 6
solutions/result_009.txt:obj: 9
solutions/result_010.txt:obj: 4
solutions/result_031.txt:obj: 22
solutions/result_032.txt:obj: 16
solutions/result_033.txt:obj: 20
solutions/result_034.txt:obj: 17
solutions/result_035.txt:obj: 21
solutions/result_036.txt:obj: 14
solutions/result_037.txt:obj: 16
solutions/result_038.txt:obj: 23
solutions/result_039.txt:obj: 18
solutions/result_040.txt:obj: 4
solutions/result_071.txt:obj: 46
solutions/result_072.txt:obj: 35
solutions/result_073.txt:obj: 41
solutions/result_074.txt:obj: 30
solutions/result_075.txt:obj: 33
solutions/result_076.txt:obj: 39
solutions/result_077.txt:obj: 31
solutions/result_078.txt:obj: 31
solutions/result_079.txt:obj: 39
solutions/result_080.txt:obj: 28
