solutions/result_000.txt:obj: 17
solutions/result_001.txt:obj: 4
solutions/result_002.txt:obj: 8
solutions/result_003.txt:obj: 2
solutions/result_004.txt:obj: 0
solutions/result_005.txt:obj: 3
solutions/result_006.txt:obj: 2
solutions/result_007.txt:obj: 5
solutions/result_008.txt:obj: 6
solutions/result_009.txt:obj: 8
solutions/result_010.txt:obj: 4
solutions/result_011.txt:obj: 10
solutions/result_012.txt:obj: 5
solutions/result_013.txt:obj: 3
solutions/result_014.txt:obj: 9
solutions/result_015.txt:obj: 14
solutions/result_016.txt:obj: 11
solutions/result_017.txt:obj: 6
solutions/result_018.txt:obj: 6
solutions/result_019.txt:obj: 10
solutions/result_020.txt:obj: 6
solutions/result_021.txt:obj: 9
solutions/result_022.txt:obj: 6
solutions/result_023.txt:obj: 12
solutions/result_024.txt:obj: 9
solutions/result_025.txt:obj: 8
solutions/result_026.txt:obj: 8
solutions/result_027.txt:obj: 9
solutions/result_028.txt:obj: 6
solutions/result_029.txt:obj: 10
solutions/result_030.txt:obj: 12
solutions/result_034.txt:obj: 15
solutions/result_035.txt:obj: 15
solutions/result_042.txt:obj: 20
solutions/result_053.txt:obj: 27
solutions/result_056.txt:obj: 11
solutions/result_057.txt:obj: 16
solutions/result_058.txt:obj: 22
solutions/result_064.txt:obj: 26
solutions/result_065.txt:obj: 20
solutions/result_067.txt:obj: 16
solutions/result_069.txt:obj: 16
